,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
239,Zach Gentry,PIT,TE,26,2,1,0,0,0,0,0,0,0,,0,2,2,40,20.00,0,0,0,0,,,4,6.0,6.0,5.0,,35,
240,Ben Skowronek,LAR,WR,25,2,2,0,0,0,0,0,0,0,,0,9,6,41,6.83,0,0,0,0,,,4,10.1,10.1,7.1,,95,
241,Isaiah Likely,BAL,TE,22,2,0,0,0,0,0,0,0,0,,0,9,4,43,10.75,0,0,0,0,,,4,8.3,8.3,6.3,,33,
242,Travis Homer,SEA,RB,24,2,0,0,0,0,0,0,3,11,3.67,0,4,4,33,8.25,0,0,0,0,,,4,8.4,8.4,6.4,,62,
243,Ray-Ray McCloud,SFO,WR,26,2,0,0,0,0,0,0,0,0,,0,4,2,36,18.00,0,0,0,0,,,4,5.6,5.6,4.6,,101,
244,Elijah Mitchell,SFO,RB,24,1,1,0,0,0,0,0,6,41,6.83,0,0,0,0,,0,0,0,0,,,4,4.1,4.1,4.1,,63,
245,Russell Gage,TAM,WR,26,2,0,0,0,0,0,0,0,0,,0,8,7,41,5.86,0,0,0,0,,,4,11.1,11.1,7.6,,96,
247,Chris Godwin,TAM,WR,26,1,1,0,0,0,0,0,0,0,,0,3,3,35,11.67,0,0,0,0,,,4,6.5,6.5,5.0,,102,
248,Scott Miller,TAM,WR,25,1,0,0,0,0,0,0,1,8,8.00,0,8,3,34,11.33,0,0,0,0,,,4,7.2,7.2,5.7,,94,
249,Tyler Allgeier,ATL,RB,22,1,0,0,0,0,0,0,10,30,3.00,0,0,0,0,,0,0,0,0,,,3,3.0,3.0,3.0,,69,
250,Zack Moss,BUF,RB,25,2,0,0,0,0,0,0,9,32,3.56,0,7,6,21,3.50,0,1,1,0,,,3,9.3,10.3,6.3,,66,
251,Mike Thomas,CIN,WR,28,2,0,0,0,0,0,0,0,0,,0,5,1,5,5.00,0,0,0,0,1,,3,3.5,3.5,3.0,,109,
252,Tyrie Cleveland,DEN,WR,25,2,0,0,0,0,0,0,0,0,,0,3,2,28,14.00,0,0,0,0,,,3,4.8,4.8,3.8,,105,
253,Albert Okwuegbunam,DEN,TE,24,2,0,0,0,0,0,0,0,0,,0,8,5,33,6.60,0,0,0,0,,,3,8.3,8.3,5.8,,40,
254,Craig Reynolds,DET,RB,26,2,0,0,0,0,0,0,3,16,5.33,0,1,1,13,13.00,0,0,0,0,,,3,3.9,3.9,3.4,,70,
