,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
114,Baker Mayfield,CAR,QB,27,5,5,84,153,962,4,4,14,40,2.86,1,0,0,0,,0,6,1,1,,,54,54.5,62.5,58.5,,30,
115,DeVonta Smith,PHI,WR,24,7,7,0,0,0,0,0,0,0,,0,51,38,420,11.05,2,0,0,2,,,54,92.0,95.0,73.0,,35,
116,Damien Harris,NWE,RB,25,7,6,0,0,0,0,0,71,302,4.25,3,14,11,47,4.27,0,0,0,3,,,53,63.9,66.9,58.4,,35,
117,Courtland Sutton,DEN,WR,27,8,8,0,0,0,0,0,1,5,5.00,0,62,35,467,13.34,1,0,0,1,,,53,88.2,91.2,70.7,,36,
118,Tyler Allgeier,ATL,RB,22,7,4,0,0,0,0,0,84,324,3.86,1,5,5,71,14.20,1,0,0,2,,,52,56.5,59.5,54.0,,37,
119,D'Andre Swift,DET,RB,23,4,3,0,0,0,0,0,32,237,7.41,1,17,13,104,8.00,2,0,0,3,,,52,65.1,71.1,58.6,,36,
120,Mitchell Trubisky,PIT,QB,28,5,4,78,128,797,3,2,13,29,2.23,1,0,0,0,,0,0,0,1,,1,51,50.8,55.8,52.8,,31,
121,AJ Dillon ,GNB,RB,24,8,2,0,0,0,0,0,87,355,4.08,1,21,14,89,6.36,0,0,0,1,,,50,64.4,67.4,57.4,,38,
123,D'Onta Foreman,CAR,RB,26,8,1,0,0,0,0,0,53,273,5.15,3,3,2,27,13.50,0,0,0,3,1,,50,52.0,55.0,51.0,,39,
124,Mack Hollins,LVR,WR,29,7,6,1,1,4,0,0,0,0,,0,40,26,381,14.65,2,0,0,2,,,50,76.3,79.3,63.3,,37,
125,Mac Jones,NWE,QB,24,5,5,91,138,993,3,7,24,80,3.33,1,0,0,0,,0,2,1,1,,,50,49.7,60.7,56.7,,33,
126,Kenny Pickett,PIT,QB,24,5,4,112,165,962,2,8,19,98,5.16,2,0,0,0,,0,3,1,2,,,50,50.3,62.3,58.3,,32,
127,Drake London,ATL,WR,21,8,6,0,0,0,0,0,0,0,,0,49,30,346,11.53,2,0,0,2,1,,49,78.6,81.6,63.6,,39,
128,Adam Thielen,MIN,WR,32,7,7,0,0,0,0,0,0,0,,0,50,35,351,10.03,2,0,0,2,1,,49,84.1,87.1,66.6,,38,
129,Melvin Gordon,DEN,RB,29,8,4,0,0,0,0,0,75,263,3.51,2,21,16,138,8.63,0,4,2,2,,,48,64.1,72.1,56.1,,41,
130,Rashaad Penny,SEA,RB,26,5,5,0,0,0,0,0,57,346,6.07,2,5,4,16,4.00,0,1,0,2,,,48,52.2,55.2,50.2,,40,
131,Josh Reynolds,DET,WR,27,7,7,0,0,0,0,0,0,0,,0,42,26,357,13.73,2,0,0,2,,,48,73.7,76.7,60.7,,40,
132,Chase Claypool,PIT,WR,24,8,8,1,1,1,1,0,8,55,6.88,0,50,32,311,9.72,1,0,0,1,,,47,78.6,81.6,62.6,,43,
133,Corey Davis,NYJ,WR,27,7,5,0,0,0,0,0,0,0,,0,34,19,351,18.47,2,0,0,2,,,47,66.1,69.1,56.6,,41,
134,Romeo Doubs,GNB,WR,22,8,6,0,0,0,0,0,1,11,11.00,0,49,30,296,9.87,3,2,1,3,,,47,76.7,80.7,61.7,,42,
135,Joe Flacco,NYJ,QB,37,3,3,91,155,901,5,3,3,6,2.00,0,0,0,0,,0,4,3,0,,,45,44.6,53.6,47.6,,34,
136,Jameis Winston,NOR,QB,28,3,3,73,115,858,4,5,5,16,3.20,0,0,0,0,,0,3,0,0,,1,44,43.9,51.9,48.9,,35,
137,Parris Campbell,IND,WR,25,8,7,0,0,0,0,0,1,28,28.00,0,40,30,282,9.40,2,0,0,2,,,43,73.0,76.0,58.0,,45,
138,Dontrell Hilliard,TEN,RB,27,6,1,0,0,0,0,0,14,109,7.79,0,17,13,144,11.08,3,0,0,3,,,43,56.3,62.3,49.8,,42,
